No,English,Japanese
2054,accommodate,収容する(動詞)
2055,obscure,不明瞭な(形容詞)
2056,aisle,通路(名詞)
2057,resign,辞任する(動詞)
2058,due to,が原因で(熟語)
2059,grocery,食料品(名詞)
2060,toll,料金(名詞)
2061,transaction,取引(名詞)
2062,stiff,硬い(形容詞)
2063,put up with,に耐える(熟語)
2064,deal with,に対処する(熟語)
2065,induce,誘発する(動詞)
2066,withstand,耐える(動詞)
2067,sanitation,衛生(名詞)
2068,fraction,分数(名詞)
2069,conceal,隠す(動詞)
2070,retail,小売り(名詞)
2071,isolation,隔離(名詞)
2072,before long,間もなく(熟語)
2073,biology,生物学(名詞)
2074,in terms of,に関して，の点から(熟語)
2075,by the end of,の終わりまでに(熟語)
2076,prejudice,先入観(名詞)
2077,souvenir,お土産(名詞)
2078,bring up,持ち出す(熟語)
2079,supervisor,上司(名詞)
2080,struggle,もがき苦しむ(動詞)
2081,attribute,に帰する(動詞)
2082,subsequent,その後の(形容詞)
2083,soak,浸す(動詞)
2084,supplement,補足，追加(名詞)
2085,drought,干ばつ(名詞)
2086,rely on,に頼る，を当てにする(熟語)
2087,penetrate,貫く(動詞)
2088,conform,従う(動詞)
2089,at most,多くとも，せいぜい(熟語)
2090,scarce,乏しい(形容詞)
2091,trivial,取るに足らない(形容詞)
2092,thorough,徹底した(形容詞)
2093,urge,強く促す，早める(動詞)
2094,predator,捕食者(名詞)
2095,beverage,飲料(名詞)
2096,emperor,皇帝，天皇(名詞)
2097,soar,舞い上がる(動詞)
2098,embarrassed,恥ずかしい(形容詞)
2099,and so on,などなど(熟語)
2100,famine,食料不足(名詞)
2101,secondhand,中古の(形容詞)
2102,bureau,事務局，たんす(名詞)
2103,extinct,絶滅した(形容詞)
2104,on duty,勤務時間中で，当番の(熟語)
2105,roast,あぶり焼きにする(動詞)
2106,along with,に沿って(熟語)
2107,make fun of,をからかう(熟語)
2108,conquer,征服する(動詞)
2109,come up with,を思いつく，を考え出す(熟語)
2110,converse,逆の(形容詞)
2111,revise,改訂する(動詞)
2112,lawyer,弁護士，法律家(名詞)
2113,dip,少し浸す(動詞)
2114,look into,を調べる(熟語)
2115,optimistic,楽観的な(形容詞)
2116,neat,きちんとした(形容詞)
2117,refer,言及する(動詞)
2118,expire,期限切れの(動詞)
2119,imperial,帝国の(形容詞)
2120,hierarchy,階層(名詞)
2121,erosion,侵食(名詞)
2122,evoke,呼び起こす(動詞)
2123,chemistry,化学(名詞)
2124,habit,習慣，慣習(名詞)
2125,vanish,消える(動詞)
2126,medieval,中世の(形容詞)
2127,earnest,真剣な(形容詞)
2128,get by,どうにか切り抜ける(熟語)
2129,cope with,に対処する(熟語)
2130,savage,獰猛な(形容詞)
2131,spur,刺激(名詞)
2132,bleed,出血する(動詞)
2133,eyesight,視界(名詞)
2134,apologize,謝る，謝罪する(動詞)
2135,concentrate,集中する(動詞)
2136,utilize,利用する(動詞)
2137,fame,名声(名詞)
2138,accommodation,宿泊施設(名詞)
2139,donate,を寄付する，を寄贈する(動詞)
2140,starve,飢える(動詞)
2141,in spite of,にも関わらず(熟語)
2142,organ,臓器(名詞)
2143,domestic,国内の，自国の(形容詞)
2144,discrimination,差別/差別的な(名詞)
2145,bully,いじめっ子(名詞)
2146,bake,焼く，焼成する(動詞)
2147,ambiguous,あいまいな(形容詞)
2148,integrate,統合する(動詞)
2149,particle,分子(名詞)
2150,magnificent,壮大な(形容詞)
2151,pastime,娯楽(名詞)
2152,enrich,豊かにする(動詞)
2153,refund,払い戻す(動詞)
2154,germ,細菌(名詞)
2155,rumor,うわさ(名詞)
2156,run out of,を使い果たす，消耗する(熟語)
2157,descend,下降する(動詞)
2158,irrelevant,无関係な(形容詞)
2159,endow,寄付する(動詞)
2160,fingerprint,指紋(名詞)
2161,vending machine,自動販売機(名詞)
2162,compile,編集する(動詞)
2163,compassion,思いやり(名詞)
2164,ancestor,祖先，先祖(名詞)
2165,in case,万一に備えて(熟語)
2166,think over,熟考する，よく考える(熟語)
2167,according to,によれば，に基づいて(熟語)
2168,by degrees,徐々に(熟語)
2169,sorrow,悲しみ(名詞)
2170,approve,承認する(動詞)
2171,undertake,引き受ける(動詞)
2172,compliment,褒め言葉(名詞)
2173,hang up,中断する(熟語)
2174,overwhelm,圧倒する(動詞)
2175,confess,を打ち明ける，白状する(動詞)
2176,break out,勃発する(熟語)
2177,watch out,気を付ける(熟語)
2178,pull off,也ぎ取る，成功を掴む(熟語)
2179,awkward,ぎこちない(形容詞)
2180,tame,飼いならす(動詞)
2181,appropriate,適当な，充当する(形容詞)
2182,try on,試着する(熟語)
2183,adolescent,思春期の(名詞)
2184,carry out,を成し遂げる(熟語)
2185,ambition,野望(名詞)
2186,scholarship,奨学金(名詞)
2187,get along with,とうまくやっていく(熟語)
2188,come across,を横切る，出くわす(熟語)
2189,remain,のままである，残る(動詞)
2190,emotion,感情，情熱(名詞)
2191,emergency,緊急事態，緊急(名詞)
2192,spouse,配偶者(名詞)
2193,call off,を中止する(熟語)
2194,be willing to,する気のある(熟語)
2195,shrink,縮小する(動詞)
2196,molecule,分子(名詞)
2197,document,書類(名詞)
2198,nap,昼寝(名詞)
2199,instead of,のかわりに(熟語)
2200,assemble,組み立てる(動詞)
2201,injection,注射，注入(名詞)
2202,endanger,危険にさらす(動詞)
2203,basin,盆地(名詞)
2204,suspend,つるす(動詞)
2205,stem,幹(名詞)
2206,hand in,を提出する(熟語)
2207,be engaged in,に従事している(熟語)
2208,burden,負担，重荷(名詞)
2209,a couple of,少数の(熟語)
2210,be well of,元気で(熟語)
2211,outcome,結果(名詞)
2212,retrieve,取り戻す(動詞)
2213,in shape,健康に(熟語)
2214,make sense,意味をなす(熟語)
2215,tidy,きちんとした(形容詞)
2216,reveal,明らかにする(動詞)
2217,consist of,から成り立っている(熟語)
2218,afterwards,その後(副詞)
2219,even if,たとえ～だとしても，仮に～であっても(熟語)
2220,sewage,下水(名詞)
2221,abolish,廃止する(動詞)
2222,ugly,醜い(形容詞)
2223,get over,を乗りこえる，克服する(熟語)
2224,modest,控えめな(形容詞)
2225,bloom,咲く(動詞)
2226,holy,神聖な，聖なる(形容詞)
2227,assign,割り当てる(動詞)
2228,architecture,建築(名詞)
2229,sparkle,閃光(動詞)
2230,How come,どうして～(熟語)
2231,at times,時々(熟語)
2232,fragment,断片(名詞)
2233,fare,運賃(名詞)
2234,prey,獲物(名詞)
2235,devastate,荒廃させる(動詞)
2236,show up,现れる(熟語)
2237,in contrast to,とは対照的に(熟語)
2238,nutrition,栄養，栄養素(名詞)
2239,low-income,低収入の(形容詞)
2240,leak,漏れる(動詞)
2241,exert,行使する(動詞)
2242,protocol,儀礼(名詞)
2243,toxic,有毒な(形容詞)
2244,documentary,事実を記録した(形容詞)
2245,acute,鋭角の(形容詞)
2246,prohibit,禁じる(動詞)
2247,equality,平等さ(名詞)
2248,organic,无農薬の(形容詞)
2249,formula,式(名詞)
2250,exclusive,閉鎖的な(形容詞)
2251,sincere,誠実な(形容詞)
2252,vow,誓い(名詞)
2253,in charge of,の担当をして(熟語)
2254,intuition,直感(名詞)
2255,laptop,ノートパソコン(名詞)
2256,outstanding,並外れた，目立った(形容詞)
2257,tissue,細胞組織，薄い織物(名詞)
2258,by means of,によって，を用いて(熟語)
2259,layer,層(名詞)
2260,sit up,まっすぐ座る(熟語)
2261,explode,爆発する，破裂する，激増する(動詞)
2262,irrigation,灌漑(名詞)
2263,refrain from,を控える，を遠慮する(熟語)
2264,a bunch of,たくさんの，多量の(熟語)
2265,altitude,高度(名詞)
2266,humid,湿っぽい，湿度の高い(形容詞)
2267,hemisphere,半球(名詞)
2268,salty,塩辛い(形容詞)
2269,custom,習慣，慣習(名詞)
2270,award,賞(名詞)
2271,billion,10億(名詞)
2272,ashamed,恥じて，恥ずかしくて(形容詞)
2273,definitely,もちろん，確かに(副詞)
2274,do away with,廃止する(熟語)
2275,litter,ごみ(名詞)
2276,stare at,をじっと見つめる(熟語)
2277,invade,侵略する(動詞)
2278,beat,打ち負かす(動詞)
2279,stubborn,頑固な(形容詞)
2280,settle down,定住する(熟語)
2281,harsh,厳しい(形容詞)
2282,prolong,延長する(動詞)
2283,humble,謙虚な(形容詞)
2284,reinforce,強化する(動詞)
2285,fragile,也ろい(形容詞)
2286,refuge,避難(名詞)
2287,cut down,を減らす，削減する(熟語)
2288,bold,勇敢な(形容詞)
2289,breeze,そよ風(名詞)
2290,lately,最近(副詞)
2291,tuition,授業料，学費(名詞)
2292,indicate,指し示す(動詞)
2293,vivid,鮮やかな(形容詞)
2294,out of stock,在庫切れ(熟語)
2295,comprehend,理解する(動詞)
2296,accumulate,蓄積する(動詞)
2297,summon,召喚する(動詞)
2298,acquire,を身につける(動詞)
2299,pedestrian,歩行者(名詞)
2300,restrain,抑える(動詞)
